,brgy,literacy_score,asset_score,water_score,food_score,home_score,income_score,total_score
0,1,0.5666666666666667,0.3142857142857142,1.0,1.0,0.892857142857143,1.0,0.7956349206349206
1,2,0.5360188261351053,0.1926605504587158,0.03669724770642202,1.0,0.9965596330275228,0.9950974770642202,0.6261722890653311
2,3,0.4166666666666667,0.2857142857142857,0.2857142857142857,1.0,0.9761904761904762,1.0,0.6607142857142857
3,4,0.34975038402457753,0.2748815165876775,0.44075829383886256,1.0,0.9928909952606636,0.9941350710900472,0.6754027101336381
4,5,0.5098765432098765,0.2162601626016256,0.08943089430894309,1.0,0.9986449864498644,0.9792682926829268,0.6322468132088727
5,6,0.4873737373737375,0.2612244897959182,0.17346938775510204,1.0,0.9991496598639454,0.9971301020408164,0.6530578961382533
6,7,0.4476934523809524,0.2195348837209302,0.2744186046511628,1.0,0.8720930232558137,0.9973837209302324,0.6351872808231819
7,8,0.4198412698412699,0.21612903225806407,0.18548387096774194,1.0,0.8830645161290315,0.9822328629032258,0.6144585920165556
8,9,0.7757309941520468,0.204444444444444,0.2518518518518518,1.0,0.9969135802469132,1.0,0.7048234784492093
9,10,0.5019736842105263,0.2287581699346414,0.12418300653594773,1.0,0.8687363834422658,0.9927083333333334,0.6193932629094524
10,11,0.5234013605442177,0.2335877862595415,0.04580152671755725,1.0,0.89821882951654,0.9980916030534353,0.6165168510152154
11,12,0.4527472527472527,0.2619289340101527,0.39593908629441626,1.0,0.6869712351945855,0.9902918781725888,0.631313064403166
12,13,0.4179688874810825,0.20748440748440872,0.06631678582898096,1.0,0.7413374913374909,0.982075103950104,0.5691971126803446
13,14,0.4932178932178933,0.223877551020406,0.1959183673469388,0.999854227405248,0.9057823129251694,0.993957525510204,0.6354346462376433
14,15,0.6799019607843138,0.2093749999999996,0.0078125,1.0,0.9680989583333334,1.0,0.6441980698529411
15,16,0.4051339285714284,0.18636363636363684,0.03787878787878788,1.0,0.8254419191919196,0.9879734848484848,0.5737986261423763
16,18,0.6227611940298508,0.2408921933085513,0.2527881040892193,1.0,0.9916356877323416,0.9954693308550184,0.6839244183358302
17,19,0.5319047619047619,0.2146118721461191,0.3013698630136986,1.0,0.9863013698630126,0.9935074200913242,0.6712825478364861
