brgy,finalScore
1,0.892857142857143
2,0.9965596330275229
3,0.9761904761904762
4,0.9928909952606636
5,0.9986449864498644
6,0.9991496598639454
7,0.8720930232558137
8,0.8830645161290315
9,0.9969135802469132
10,0.8687363834422658
11,0.89821882951654
12,0.6869712351945855
13,0.7413374913374909
14,0.9057823129251694
15,0.9680989583333334
16,0.8254419191919196
17,1.0
18,0.9916356877323416
19,0.9863013698630126
20,0.9865384615384611
21,0.9412144702842381
22,0.9666666666666669
23,0.9585610200364295
24,0.8846153846153828
25,0.9299999999999994
26,0.8958333333333323
27,0.9382716049382721
28,0.889671361502347
29,0.5
30,0.7570224719101126
31,0.7115384615384616
33,0.9911699779249448
34,0.9977106227106226
35,0.9997403946002076
36,1.0
37,0.9991053169734154
38,0.827094474153298
40,1.0
41,0.9871794871794871
42,0.9985532407407407
43,0.987623762376238
44,0.9755555555555558
46,0.9626047711154103
47,0.9908925318761387
48,0.9949494949494948
49,1.0
50,0.994047619047619
51,0.8597417840375599
52,1.0
54,0.6127450980392156
56,1.0
57,0.858201058201058
58,1.0
61,0.939591078066917
62,0.9823899371069179
63,0.9194577352472083
64,0.8384444444444445
65,0.9332122679580324
66,0.9094009489917003
67,0.871428571428571
68,0.6750000000000005
69,0.6832107843137255
72,0.8879399585921327
73,0.5616666666666668
74,0.6777041942604851
75,0.5898876404494393
76,0.9506310319227917
77,0.9017615176151753
78,0.7471264367816094
79,0.8382936507936507
80,0.989795918367347
81,0.8674074074074075
82,0.9265873015873016
83,0.7876506024096384
84,1.0
86,0.9227320675105477
87,0.9
88,0.9318181818181814
89,0.9780219780219775
90,0.85441767068273
94,0.9649901380670609
95,0.9580152671755722
96,0.8695652173913042
98,0.9989106753812635
99,1.0
101,0.9381313131313124
102,0.9000000000000008
103,0.9359605911330051
104,0.9980544747081712
107,0.9401986183074267
108,0.909207161125321
109,0.9068181818181826
110,0.8993576017130618
111,0.8813131313131332
112,0.8244047619047616
113,1.0
114,1.0
115,0.9828431372549021
117,0.9970073664825047
124,0.8717564870259487
125,0.9962264150943396
127,0.9714209401709403
128,0.9993961352657006
129,0.9805352798053527
130,0.8416258836324109
131,0.9967948717948718
132,0.9704081632653058
133,0.9975399753997541
134,0.9698275862068966
135,0.796692111959286
136,0.9767071759259266
137,0.9261551155115515
138,0.9990281827016522
139,0.9987789987789987
140,0.9991408934707904
141,1.0
142,0.993421052631579
143,0.9134259259259261
144,0.7563613231552161
145,0.9275990099009978
146,0.8224513172966813
147,0.8544715447154491
148,0.7660984848484854
149,0.9728835978835976
150,0.9605457227138648
151,0.9862938596491228
152,0.9068627450980407
153,0.8335866261398199
154,0.8320363164721166
155,0.9941520467836257
156,0.7654220779220768
157,0.8431485758275624
158,0.9926075268817204
159,0.9791666666666665
160,0.9989247311827958
161,0.9432029795158288
162,0.9357429718875495
163,0.7166666666666675
164,0.995527306967985
165,0.8883298022598864
166,0.9922969187675073
167,0.9953703703703703
168,0.9965277777777777
169,0.9147956246401839
170,0.9166666666666666
171,0.9827964860907755
172,0.9103156274056996
173,0.9412997903563947
174,0.9869015356820231
175,0.9774266365688489
176,0.6666666666666666
177,0.9044401544401547
178,0.8802403987100571
179,0.8037597432370465
180,0.9378753753753774
181,0.9060549313358299
182,0.967854217854219
183,0.9595158597662959
184,0.8194444444444439
185,0.9424283154121897
186,0.7844655344655419
187,0.830596107055964
188,0.8989361702127643
189,0.8878758797184901
190,0.8979913678618879
191,0.9814814814814828
192,0.9558070025619158
193,0.9542603640813772
194,0.8894716394716375
195,0.9533799533799518
196,0.8554421768707484
197,0.9707207207207204
198,0.9646226415094336
199,0.9902356902356899
200,0.9260844748858454
201,0.9356427648578841
