brgy,theScore
1,1.0
2,0.9950974770642202
3,1.0
4,0.9941350710900473
5,0.9792682926829268
6,0.9971301020408163
7,0.9973837209302325
8,0.9822328629032258
9,1.0
10,0.9927083333333334
11,0.9980916030534351
12,0.9902918781725889
13,0.9820751039501039
14,0.9939575255102041
15,1.0
16,0.9879734848484848
17,1.0
18,0.9954693308550185
19,0.9935074200913242
20,0.9907211538461538
21,0.9830426356589147
22,1.0
23,0.9948770491803278
24,0.9993444055944056
25,1.0
26,0.9891896802325582
27,0.9875578703703703
28,0.9946302816901408
29,1.0
30,0.9624297752808989
31,0.9723557692307693
33,0.9950331125827815
34,0.9838598901098901
35,0.9968847352024922
36,0.9956317204301075
37,0.9840394938650306
38,0.9727606951871658
40,1.0
41,1.0
42,0.9756944444444444
43,1.0
44,0.9733333333333334
46,0.9757374274661509
47,0.9785040983606559
48,1.0
49,0.9772727272727273
50,1.0
51,0.9928600352112678
52,0.9877155172413793
54,0.9963235294117647
56,1.0
57,0.9912896825396826
58,1.0
61,0.9910141728624537
62,0.9963915094339623
63,0.9907296650717703
64,0.9954956666666667
65,0.9966253026634382
66,0.99230871886121
67,0.9993303571428571
68,0.8779761904761905
69,0.9522058823529411
72,0.9700116459627329
73,1.0
74,0.9602649006622517
75,0.9794007490636704
76,0.9233052616926503
77,0.9189532520325203
78,0.9507004310344828
79,0.9698040674603174
80,0.8875
81,0.9081805555555555
82,0.9724702380952381
83,0.9661163403614458
84,0.9285714285714286
86,0.9746439873417722
87,1.0
88,0.9876473063973062
89,0.9948489010989011
90,0.9871517319277109
94,0.8460510355029585
95,0.9173234732824428
96,0.970108695652174
98,0.9782679738562092
99,0.765625
101,0.9962121212121212
102,0.98925
103,1.0
104,0.9881566147859923
107,0.9990284974093264
108,0.9964434143222506
109,0.9642045454545455
110,0.9895409528907924
111,0.9390422077922077
112,0.9949776785714286
113,0.9822368421052632
114,0.9600000000000001
115,0.9558823529411765
117,0.9719882596685082
124,0.9612649700598802
125,0.9709846698113208
127,0.9629106570512821
128,0.9735960144927536
129,0.9302819343065694
130,0.9742404159869494
131,0.9700854700854701
132,0.962889030612245
133,0.9646794280442805
134,0.976896551724138
135,0.9508921755725189
136,0.9293353949652778
137,0.9644028465346534
138,0.9931122448979591
139,0.986025641025641
140,0.9929123711340206
141,0.9756711409395973
142,1.0
143,0.9855902777777777
144,0.9839860050890585
145,0.9976021039603961
146,0.987414089347079
147,0.978689024390244
148,1.0
149,0.8609871031746031
150,0.990320796460177
151,0.9950657894736842
152,0.9864583333333333
153,0.9969604863221885
154,0.9722762645914397
155,0.872313596491228
156,0.9901988636363638
157,0.9969832563510393
158,0.9894092741935483
159,0.8935185185185185
160,0.9879403225806452
161,0.928125
162,0.9612198795180723
163,0.9272991071428572
164,0.9888771186440678
165,0.9911041777012712
166,0.9972295168067227
167,0.9955426587301588
168,1.0
169,0.9549708549222798
170,1.0
171,0.9951808199121523
172,0.9818673498845266
173,0.9937499999999999
174,0.9920433604336042
175,0.9874717832957111
176,1.0
177,0.9383417468227158
178,0.9934888962181179
179,0.9746432255845942
180,0.9966920045045045
181,0.9950842696629213
182,0.9940878378378378
183,0.9948798592892917
184,0.995789748953975
185,0.9974798387096774
186,0.9807036713286713
187,0.9954393248175181
188,0.986948742746615
189,0.955940499040307
190,0.9817635707171314
191,0.9959337349397591
192,0.9919773964560205
193,0.9923775240936209
194,0.9954176379176379
195,0.9904010052447552
196,0.9870004251700681
197,0.986155686936937
198,0.9775206367924528
199,0.9916098484848485
200,0.9967893835616438
201,0.9498105620155037
