brgy,score
1,0.5666666666666667
2,0.5360188261351053
3,0.4166666666666667
4,0.34975038402457753
5,0.5098765432098765
6,0.48737373737373746
7,0.4476934523809524
8,0.4198412698412699
9,0.7757309941520468
10,0.5019736842105263
11,0.5234013605442177
12,0.4527472527472527
13,0.41796888748108246
14,0.4932178932178933
15,0.6799019607843138
16,0.4051339285714284
18,0.6227611940298508
19,0.5319047619047619
20,0.6392156862745099
21,0.5173160173160173
22,0.4485544217687076
23,0.4743134290753338
24,0.4528195488721804
25,0.42969451931716085
26,0.4784256559766763
27,0.5594224924012158
28,0.4302107728337238
30,0.5163736263736264
31,0.4833333333333333
33,0.6701178451178451
34,0.6620490620490621
35,0.8483686067019398
36,0.7437293729372938
37,0.6741263028816675
38,0.5361635220125786
40,0.2
41,0.6458333333333334
42,0.4829029304029304
43,0.38714071214071205
44,0.4110360360360362
46,0.31681327222633004
47,0.38844488844488856
48,0.43999999999999995
49,0.5179705215419501
50,0.3901785714285714
51,0.3854931972789117
52,0.22491582491582493
54,0.2785714285714285
57,0.36297514619883026
58,0.3333333333333333
61,0.3862920809349382
62,0.40417267917267924
63,0.47478799739073707
64,0.39234817115251913
65,0.467280361757106
66,0.38551688018693114
67,0.4575925925925927
68,0.5888551165146909
69,0.355783242258652
72,0.3788121259432734
73,0.2
74,0.25
75,0.39999999999999997
76,0.8175438596491227
77,0.4358585858585859
78,0.47575757575757566
79,0.5208333333333334
80,0.45909090909090916
81,0.4782854808590103
82,0.8589743589743589
83,0.8154761904761906
84,0.3333333333333333
86,0.4871784345922276
87,0.5
88,0.4409838935574229
89,0.537878787878788
90,0.39758928571428576
94,0.4101800681587917
95,0.41774042950513524
96,0.36455627705627713
98,0.4694099378881988
99,1.0
101,0.5184895833333332
102,0.45994152046783615
103,0.4502252252252253
104,0.5843915343915345
107,0.4830844155844156
108,0.3983998645571535
109,0.3787490287490287
110,0.4243138858596874
111,0.43355092878902396
112,0.47703081232492983
113,0.5042517006802721
114,0.5208333333333333
115,0.38484848484848494
117,0.478127522195319
124,0.3620027124773959
125,0.47226070226070244
127,0.41103368176538896
128,0.45845238095238094
129,0.48630952380952375
130,0.38482607227288085
131,0.4569654528478058
132,0.4139288062364986
133,0.4465172735760971
134,0.4110082304526749
135,0.4865811602418743
136,0.6394493177387915
137,0.5152477152477154
138,0.5904620181405896
139,0.6329827636576104
140,0.6417643467643468
141,0.654222222222222
142,0.6222470238095239
143,0.5572997416020673
144,0.43557594291539253
145,0.39332706766917325
146,0.48933333333333323
147,0.4190170940170941
148,0.3516666666666667
149,0.6884615384615385
150,0.47616246498599446
151,0.4745098039215684
152,0.4132336154724214
153,0.4508230452674897
154,0.49625850340136046
155,0.3444444444444444
156,0.3774005756148617
157,0.3682950596412136
158,0.648809523809524
159,0.6061042524005487
160,0.4899206349206348
161,0.5401234567901235
162,0.4777720266850701
163,0.4135135135135134
164,0.4307576200214239
165,0.3887554534484362
166,0.4845881595881595
167,0.6200000000000001
168,0.42290043290043294
169,0.446425718983859
170,0.7083333333333334
171,0.44245568525724194
172,0.42328767123287664
173,0.49441034226190467
174,0.46403186274509806
175,0.44799327428637786
177,0.44280308026845405
178,0.46453968253968253
179,0.37284533648170015
180,0.34402083765291314
181,0.3376478038348547
182,0.3743774574049803
183,0.5403994574020095
184,0.425118422610824
185,0.42255945113088
186,0.4026148838924168
187,0.3683261183261182
188,0.5117989417989418
189,0.42574750830564806
190,0.3886250536250537
191,0.450145772594752
192,0.48798701298701275
193,0.476867970806412
194,0.4789870227370233
195,0.45261479591836734
196,0.4075607902735561
197,0.4399045899948426
198,0.5299763383614317
199,0.5083036389158838
200,0.45645682001614224
201,0.44002753126840705
